ᎠᎦ	ạ²ga²	a2ga2
ᎢᏣᏗᎭ	i¹jạ²dị²ha	ii1ja2di2ha
ᎢᏣᏘᏗ	i¹jạt²di	ii1jat2di
ᎢᏣᏚᎳ	i¹jạ²du²³la	ii1ja2duu23la
ᎢᏣᏚᎳ	i¹jạ²du²³la²	ii1ja2duu23la2
ᎢᏤᎪᎢ	i¹je³gọ³ɂi	ii1jee3go3-i
ᎢᏥᎩᎠ	i¹ji²gị³ɂa	ii1jii2gi3-a
ᎢᏥᎬᎢ	i¹ji²gv²³ɂi	ii1jii2gvv23-i
ᎢᏥᎰᎢ	i¹ji²ho³ɂi	ii1jii2hoo3-i
ᎢᏥᎲᎢ	i¹ji²hv²³ɂi	ii1jii2hvv23-i
ᎢᏥᎴᎦ	i¹jiɂ³le¹ga	ii1ji-3lee1ga
ᎢᏥᎷᎦ	i¹jiɂ²lu¹ga	ii1ji-2luu1ga
ᎢᏥᎷᎦ	i¹jiɂ²lu¹ga²	ii1ji-2luu1ga2
ᎢᏥᏙᏓ	i¹ji²do²da	ii1jii2doo2da
ᎢᏦᎵᎦ	i¹johl²ga	ii1johl2ga
ᎢᏦᎵᎦ	i¹johl²ga²	ii1johl2ga2
ᎢᏦᎵᎩ	i¹johl²gi	ii1johl2gi
ᎢᏨᏙᏓ	i¹jv²do²da	ii1jvv2doo2da
ᎣᎦᏘᏗ	o¹gạt²di	oo1gat2di
ᎣᎦᏚᎳ	o¹gạ²du²³la²	oo1ga2duu23la2
ᎣᎩᎬᎢ	o¹gi²gv²³ɂi	oo1gii2gvv23-i
ᎣᎩᎰᎢ	o¹gi²ho³ɂi	oo1gii2hoo3-i
ᎣᎩᎲᎢ	o¹gi²hv²³ɂi	oo1gii2hvv23-i
ᎣᎩᏂᎭ	o¹gị²ni²ha	oo1gi2nii2ha
ᎣᎩᏂᏥ	o²gị²ni²ji	oo2gi2nii2ji
ᎣᎩᏅᏌ	o¹gị²nv²³sa	oo1gi2nvv23sa
ᎣᎩᏅᏌ	o¹gị²nv⁴sa	oo1gi2nvv4sa
ᎣᎩᏙᏓ	o²gi²do²da	oo2gii2doo2da
ᎣᎪᎵᎦ	o¹gohl²ga	oo1gohl2ga
ᎣᎪᎵᎦ	o¹gohl²ga²	oo1gohl2ga2
ᎣᏍᏓᏓ	o²sdạ²da²	oo2sda2da2
ᎣᏍᏕᎦ	o²sde³ga	oo2sdee3ga
ᎣᏍᏕᎾ	o²sde¹na²	oo2sdee1na2
ᎣᏍᏗᎦ	o²sdi²ga²	oo2sdii2ga2
ᎣᏣᏗᎭ	o¹jạ²dị²ha	oo1ja2di2ha
ᎣᏣᏚᎳ	o¹jạ²du²³la²	oo1ja2duu23la2
ᎣᏤᎪᎢ	o¹je³gọ³ɂi	oo1jee3go3-i
ᎣᏥᎩᎠ	o¹ji²gị³ɂa	oo1jii2gi3-a
ᎣᏥᎴᎦ	o¹jiɂ³le¹ga	oo1ji-3lee1ga
ᎣᏥᎷᎦ	o¹jiɂ²lu¹ga²	oo1ji-2luu1ga2
ᎣᏦᎵᎦ	o¹jo²li¹ga	oo1joo2lii1ga
ᎣᏦᎵᎦ	o¹jo²li¹ga²	oo1joo2lii1ga2
ᎣᏦᎵᎦ	o¹johl²ga	oo1johl2ga
ᎣᏦᎵᎦ	o¹johl²ga²	oo1johl2ga2
ᎤᎩᏍᏗ	u¹gi¹sdi	uu1gii1sdi
ᎤᎪᎲᎢ	u¹go²hv²³ɂi	uu1goo2hvv23-i
ᎤᎮᏍᏗ	u¹he³sdi	uu1hee3sdi
ᎤᎸᏍᏗ	u¹lv¹sdi	uu1lvv1sdi
ᎤᎸᏒᎢ	u¹lv³²sv²³ɂi	uu1lvv32svv23-i
ᎤᎾᏘᏗ	u¹nạt²di	uu1nat2di
ᎤᎾᏚᎳ	u¹nạ²du²³la²	uu1na2duu23la2
ᎤᏂᎬᎢ	u¹ni²gv²³ɂi	uu1nii2gvv23-i
ᎤᏂᎰᎢ	u¹ni²ho³ɂi	uu1nii2hoo3-i
ᎤᏂᎲᎢ	u¹ni²hv²³ɂi	uu1nii2hvv23-i
ᎤᏂᏙᏓ	u²ni²do²da	uu2nii2doo2da
ᎤᏓᏚᎳ	u¹dạ²du²³la²	uu1da2duu23la2
ᎤᏚᎵᎭ	u²du²lị³ha	uu2duu2li3ha
ᎤᏚᎸᏗ	u²duhl²di	uu2duhl2di
ᎤᏛᏅᎢ	u²dv²hnv²³ɂi	uu2dvv2hnvv23-i
ᎤᏤᎵᎢ	ụ²je²li⁴ɂi	uu2jee2lii4-i
ᎤᏲᏏᎭ	u¹yo³sị²ha	uu1yoo3si2ha
ᎤᏲᏏᏌ	u¹yo¹si²³sa²	uu1yoo1sii23sa2
ᎥᏆᏚᎳ	v¹gwạ²du²³la²	vv1gwa2duu23la2
ᎥᏉᎵᎦ	v¹gwohl²ga	vv1gwohl2ga
ᎥᏉᎵᎦ	v¹gwohl²ga²	vv1gwohl2ga2
ᎥᏍᎩᎾ	v¹sgị²na	vv1sgi2na
ᎦᎯᏙᏓ	gạ²hi²do²da	ga2hii2doo2da
ᎦᎴᎪᎢ	gạɂ³le¹go³ɂi	ga-3lee1goo3-i
ᎦᏥᏙᏓ	gạ²ji²do²da	ga2jii2doo2da
ᎨᎦᏚᎳ	ge²gạ²du²³la²	gee2ga2duu23la2
ᎨᎪᎵᎦ	ge²go²li¹ga	gee2goo2lii1ga
ᎨᎪᎵᎦ	ge²go²li¹ga²	gee2goo2lii1ga2
ᎨᎪᎵᎦ	ge²gohl²ga	gee2gohl2ga
