ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᏧᎾᏤᎵᎢ|jù:naje:li̋:ɂi||ju¹nạ²je²li⁴ɂi|Their things|juu1naa2jee2lii4-i
ᏗᎦᏓᎪᏩᏛᏗ|digada:gowhtv́hdi||dị²gạ²da²gowh²tvh³di|For all of us to see each other|di2ga2daa2gowh2tvh3di
ᏕᏓᏚᎦ|dé:datǔ:gā||de³dạ²tu²³ga²|All of us recently drank alcoholic drinks|dee3da2tuu23ga2
ᏕᎩᎾᏓᏙᎵᏨᎢ|de:ginada:dohljv̌:ɂi||de²gị²nạ²da²dohl²jv²³ɂi|You and I were acquainted a while ago|dee2gi2na2daa2dohl2jvv23-i
ᏚᏂᎰᎢ|dù:ni:hó:ɂi||du¹ni²ho³ɂi|They usually have solid things|duu1nii2hoo3-i
ᏙᎵᎩ|tohlgi||tohl²gi|Let you understand things|tohl2gi
ᏗᎦᏤᎵᎢ|digaje:li̋:ɂi||dị²gạ²je²li⁴ɂi|Our things, you all and I|di2gaa2jee2lii4-i
ᏗᎩᎾᏓᎪᏩᏛᏗ|diginada:gowhtv́hdi||dị²gị²nạ²da²gowh²tvh³di|For you and me to see each other|di2gi2na2daa2gowh2tvh3di
ᏙᏣᏚᎦ|dò:jatǔ:gā||do¹jạ²tu²³ga²|They and I recently drank alcoholic drinks|doo1ja2tuu23ga2
ᏙᎩᎾᏓᏙᎵᏨᎢ|dò:ginada:dohljv̌:ɂi||do¹gị²nạ²da²dohl²jv²³ɂi|He and I were acquainted a while ago|doo1gi2na2daa2dohl2jvv23-i
ᏕᎩᏂᎰᎢ|de:gini:hó:ɂi||de²gị²ni²ho³ɂi|You and I usually have solid things|dee2gi2nii2hoo3-i
ᏗᏙᎵᎩ|didohlgi||dị²dohl²gi|Let all of us understand things|di2dohl2gi
ᎨᏃᎵᎩ|ge:no:lì:gi||ge²no²li¹gi|Let you and me recognize them (animate)|gee2noo2lii1gi
ᏕᎯᏟᏌ|de:hìhlǐ:sā||de²hị¹hli²³sa²|You recently gathered things|dee2hi1hlii23sa2
ᏗᏆᏤᎵᎢ|dìgwaje:li̋:ɂi||dị¹gwạ²je²li⁴ɂi|My things|di1gwaa2jee2lii4-i
ᏙᏍᏓᏚᎦ|dò:sdatǔ:gā||do¹sdạ²tu²³ga²|He and I recently drank alcoholic drinks|doo1sda2tuu23ga2
ᏙᎩᏂᎰᎢ|dò:gini:hó:ɂi||do¹gị²ni²ho³ɂi|He and I usually have solid things|doo1gi2nii2hoo3-i
ᏍᏕᎾ|sdè:nā||sde¹na²|You both recently went|sdee1na2
ᏕᏥᏰᎠ|dé:ji:hyé:ɂa||de³ji²hye³ɂa|You all are eating flexible things|dee3jii2hyee3-a
ᏗᏃᎵᎩ|dínohlgi||dị³nohl²gi|Let you and me understand things|di3nohl2gi
ᎨᏙᎵᎩ|ge:do:lì:gi||ge²do²li¹gi|Let all of us recognize them (animate)|gee2doo2lii1gi
ᏗᏍᏗᏟᏌ|disdì:hlǐ:sa||dị²sdi¹hli²³sa|Let you both gather things|di2sdii1hlii23sa
ᏦᎩᎾᏤᎵᎢ|jò:ginaje:li̋:ɂi||jo¹gị²nạ²je²li⁴ɂi|Our things, he and I|joo1gi2naa2jee2lii4-i
ᏬᏤᎾ|wò:jè:na||wo¹je¹na|Let them and me go|woo1jee1na
ᏕᎦᏰᎠ|de:gahyé:ɂa||de²gạ²hye³ɂa|He is eating flexible things|dee2ga2hyee3-a
ᎨᏦᎵᎩ|ge:jo:lì:gi||ge²jo²li¹gi|Let you all recognize them (animate)|gee2joo2lii1gi
ᏫᏗᏥᏟᏌ|widijìhlǐ:sa||wị²dị²jị¹hli²³sa|Let me gather things|wi2di2ji1hlii23sa
ᏗᎩᎾᏤᎵᎢ|diginaje:li̋:ɂi||dị²gị²nạ²je²li⁴ɂi|Our things, you and I|di2gi2naa2jee2lii4-i
ᏬᏍᏕᎾ|wò:sdè:na||wo¹sde¹na|Let him and me go|woo1sdee1na
ᏕᏍᏗᏰᎠ|de:sdi:hyé:ɂa||de²sdi²hye³ɂa|You both are eating flexible things|dee2sdii2hyee3-a
ᎥᏉᎵᎦ|v̀:gwohlga||v¹gwohl²ga|I am being recognized|vv1gwohl2ga
ᎯᏲᎵᎩ|hi:yo:lì:gi||hi²yo²li¹gi|Let you recognize him|hii2yoo2lii1gi
ꮷꮹᎪᏗ|ju:wa:kóhdi||ju²wa²koh³di|For him to have living things|juu2waa2koh3di
ᎬᏉᎵᎦ|gv:gwohlga||gv²gwohl²ga|They recognize me|gvv2gwohl2ga
ᏍᏉᎵᏍᏗ|sgwo:hlísdi||sgwo²hlị³sdi|For you to recognize me|sgwoo2hli3sdi
ᎠᏓᏙᎵᎦ|à:da:dohlga||a¹da²dohl²ga|He recognizes himself|aa1daa2dohl2ga
ᎡᏍᏙᎵᎩ|è:sdo:lì:gi||e¹sdo²li¹gi|Let you both recognize him; Let you both be recognized|ee1sdoo2lii1gi
ᏗᏣᏓᏙᎵᏍᏗ|dijada:do:hlísdi||dị²jạ²da²do²hlị³sdi|For you all to be acquainted|di2ja2daa2doo2hli3sdi
ᎢᎬᏯ|ì:gù:wâ:ya||i¹gu¹wa³²ya|All of us have something rod shaped|ii1guu1waa32ya
ᎭᏓᏙᎵᎦ|hada:dohlga||hạ²da²dohl²ga|You recognize yourself|haa2daa2dohl2ga
ᎨᏍᏙᎵᎩ|ge:sdo:lì:gi||ge²sdo²li¹gi|Let you both recognize them (animate)|gee2sdoo2lii1gi
ᏗᏍᏓᏓᏙᎵᏍᏗ|disdada:do:hlísdi||dị²sdạ²da²do²hlị³sdi|For you both to be acquainted|di2sdaa2daa2doo2hli3sdi
ᎣᎬᏯ|ò:gù:wâ:ya||o¹gu¹wa³²ya|They and I have something rod shaped|oo1guu1waa32ya
ᎠᎾᏓᏙᎵᎦ|à:nada:dohlga||a¹nạ²da²dohl²ga|They recognize themselves|aa1naa2daa2dohl2ga
ᎡᎩᏃᎵᎩ|è:gino:lì:gi||e¹gị²no²li¹gi|Let you and me be recognized|ee1gi2noo2lii1gi
ᎢᎾᏓᏙᎵᎦ|ì:nada:dohlga||i¹nạ²da²dohl²ga|You and I recognize ourselves|ii1na2daa2dohl2ga
ᎢᏓᏓᏙᎵᎦ|ì:dada:dohlga||i¹dạ²da²dohl²ga|All of us recognize ourselves|ii1da2daa2dohl2ga
ᎣᏣᏓᏙᎵᎦ|ò:jada:dohlga||o¹jạ²da²dohl²ga|They and I recognize ourselves|oo1ja2daa2dohl2ga
ᏫᏦᏥᎪᏩᏔ|wijò:ji:gò:wahta||wị²jo¹ji²go¹wah²ta|Let them and me see them (inanimate)|wi2joo1jii2goo1wah2ta
ᎣᏍᏓᏓᏙᎵᎦ|ò:sdada:dohlga||o¹sdạ²da²dohl²ga|He and I recognize ourselves|oo1sda2daa2dohl2ga
ᏫᏗᏂᎪᏩᏔ|widini:gò:wahta||wị²dị²ni²go¹wah²ta|Let them see them|wi2di2nii2goo1wah2ta
ᎨᎩᎪᏩᏔ|ge:gi:gò:wahtā||ge²gi²go¹wah²ta²|They recently saw all of us|gee2gii2goo1wah2ta2
ᎨᏣᏚᎳ|gé:jadǔ:lā||ge³jạ²du²³la²|They recently wanted you all|gee3ja2duu23la2
ᏫᏦᏍᏗᎪᏩᏔ|wijò:sdi:gò:wahta||wị²jo¹sdi²go¹wah²ta|Let him and me see them (inanimate)|wi2joo1sdii2goo1wah2ta
ᎪᎩᎪᏩᏔ|go:gi:gò:wahtā||go²gi²go¹wah²ta²|They recently saw them and me|goo2gii2goo1wah2ta2
ᎪᏣᏚᎳ|go:jadǔ:lā||go²jạ²du²³la²|They and I recently wanted them (animate)|goo2ja2duu23la2
ᏫᏗᎾᏓᎪᏩᏔ|widinada:gò:wahta||wị²dị²nạda²go¹wah²ta|Let them see each other|wi2di2nadaa2goo1wah2ta
ᎪᏍᏓᏚᎳ|go:sdadǔ:lā||go²sdạ²du²³la²|He and I recently wanted them (animate)|goo2sda2duu23la2
ᎨᎩᏂᎪᏩᏔ|ge:gini:gò:wahtā||ge²gị²ni²go¹wah²ta²|They recently saw you and me|gee2gi2nii2goo1wah2ta2
ᎪᎩᏂᎪᏩᏔ|go:gini:gò:wahtā||go²gị²ni²go¹wah²ta²|They recently saw him and me|goo2gi2nii2goo1wah2ta2
ᎦᏓᏙᎵᎦ|gada:do:lì:gā||gạ²da²do²li¹ga²|I recently recognized myself|ga2daa2doo2lii1ga2
ᎤᏁᏗ|ù:nehdi||u¹neh²di|For him to have a liquid|uu1neh2di
ᎯᏥ|hi:ji||hi²ji|You one, his mother|hii2ji
ᎭᏓ|hada||hạ²da|Let you say|ha2da
ᏫᏗᏯᎦ|widihyaga||wị²dị²hyạ²ga|Let him eat flexible things|wi2di2hya2ga
ᎨᎪᎵᏍᏗ|ge:go:lí:sdi||ge²go²li³sdi|For them to be recognized|gee2goo2lii3sdi
ᏕᎦᏓᏚᎵᎭ|dé:gadadu:líha||de³gạ²dạ²du²lị³ha|All of us are wanting each other|dee3ga2da2duu2li3ha
ᎢᎾᏓ|ì:nada||i¹nạ²da|Let you and me say|ii1na2da
ᎠᏓ|adā||ạ²da²|He recently said|a2da2
ᏧᏂᏰᏍᏗ|jù:ni:hyè:sdi||ju¹ni²hye¹sdi|For them to eat flexible things|juu1nii2hyee1sdi
ᏫᏦᏥᏍᏗᎦ|wijò:ji:sdǐ:ga||wị²jo¹ji²sdi²³ga|Let them and me eat rod shaped things|wi2joo1jii2sdii23ga
ᏓᎾᏓᏙᎵᎪᎢ|dà:nada:dohlgó:ɂi||da¹nạ²da²dohl²go³ɂi|They usually are acquainted|daa1naa2daa2dohl2goo3-i
ᏕᎪᎵᎪᎢ|de:go:li:gó:ɂi||de²go²li²go³ɂi|I usually understand things|dee2goo2lii2goo3-i
ᏙᎦᏓᏚᎵᎭ|dò:gadadu:líha||do¹gạ²dạ²du²lị³ha|They and I are wanting each other|doo1ga2da2duu2li3ha
ᎢᎬᏌ|ì:gv̋:sa||i¹gv⁴sa|All of us alone|ii1gvv4sa
ᎢᏓᏓ|ì:dada||i¹dạ²da|Let all of us say|ii1da2da
ᏕᎩᎲᎢ|dé:gi:hv̌:ɂi||de³gi²hv²³ɂi|All of us had solid things a while ago|dee3gii2hvv23-i
ᎠᎾᏓ|à:nadā||a¹nạ²da²|They recently said|aa1na2da2
ᏦᎩᏂᏰᏍᏗ|jò:gini:hyè:sdi||jo¹gị²ni²hye¹sdi|For him and me to eat flexible things|joo1gi2nii2hyee1sdi
ᏫᏗᏂᏍᏗᎦ|widini:sdǐ:ga||wị²dị²ni²sdi²³ga|Let them eat rod shaped things|wi2di2nii2sdii23ga
ᏕᎾᏓᏙᎵᎪᎢ|dé:nada:dohlgó:ɂi||de³nạ²da²dohl²go³ɂi|You and I usually are acquainted|dee3na2daa2dohl2goo3-i
ᎦᏓᏙᎵᎪᎢ|gada:do:li:gó:ɂi||gạ²da²do²li²go³ɂi|I usually recognize myself|ga2daa2doo2lii2goo3-i
ᏚᎾᏓᏚᎵᎭ|dù:nadadu:líha||du¹nạ²dạ²du²lị³ha|They are wanting each other|duu1na2da2duu2li3ha
ᎣᎬᏌ|ò:gv̋:sa||o¹gv⁴sa|They and I alone|oo1gvv4sa
ᏙᎩᎲᎢ|dò:gi:hv̌:ɂi||do¹gi²hv²³ɂi|They and I had solid things a while ago|doo1gii2hvv23-i
ᎣᏣᏓ|ò:jadā||o¹jạ²da²|They and I recently said|oo1ja2da2
ᏫᏦᏍᏗᏍᏗᎦ|wijò:sdi:sdǐ:ga||wị²jo¹sdi²sdi²³ga|Let him and me eat rod shaped things|wi2joo1sdii2sdii23ga
ᏕᏓᏓᏙᎵᎪᎢ|dé:dada:dohlgó:ɂi||de³dạ²da²dohl²go³ɂi|All of us usually are acquainted|dee3da2daa2dohl2goo3-i
ᏕᎩᎾᏓᏚᎵᎭ|de:ginadadu:líha||de²gị²nạ²dạ²du²lị³ha|You and I are wanting each other|dee2gi2na2da2duu2li3ha
ᏗᎾᏓᎦᏙᏍᏓ|dinadaktǒ:sda||dị²nạ²dạ²kto²³sda|Let you and me look at each other|di2na2da2ktoo23sda
ᎤᏅᏌ|ù:nv̋:sa||u¹nv⁴sa|They alone|uu1nvv4sa
ᏚᏂᎲᎢ|dù:ni:hv̌:ɂi||du¹ni²hv²³ɂi|They had solid things a while ago|duu1nii2hvv23-i
ᎣᏍᏓᏓ|ò:sdadā||o¹sdạ²da²|He and I recently said|oo1sda2da2
ᏙᏣᏓᏙᎵᎪᎢ|dò:jada:dohlgó:ɂi||do¹jạ²da²dohl²go³ɂi|They and I usually are acquainted|doo1ja2daa2dohl2goo3-i
ᏗᎩᎾᏓᏚᎸᏗ|diginadaduhldi||dị²gị²nạ²dạ²duhl²di|For you and me to want each other|di2gi2na2da2duhl2di
ᏙᎩᎾᏓᏚᎵᎭ|dò:ginadadu:líha||do¹gị²nạ²dạ²du²lị³ha|He and I are wanting each other|doo1gi2na2da2duu2li3ha
ᎩᏅᏌ|ginv̋:sa||gị²nv⁴sa|You and I alone|gi2nvv4sa
ᏕᎩᏂᎲᎢ|de:gini:hv̌:ɂi||de²gị²ni²hv²³ɂi|You and I had solid things a while ago|dee2gi2nii2hvv23-i
ᏙᏍᏓᏓᏙᎵᎪᎢ|dò:sdada:dohlgó:ɂi||do¹sdạ²da²dohl²go³ɂi|He and I usually are acquainted|doo1sda2daa2dohl2goo3-i
ᎣᎩᏅᏌ|ò:ginv̋:sa||o¹gị²nv⁴sa|He and I alone|oo1gi2nvv4sa
ᏙᎩᏂᎲᎢ|dò:gini:hv̌:ɂi||do¹gị²ni²hv²³ɂi|He and I had solid things a while ago|doo1gi2nii2hvv23-i
ᏕᎦᏚᎦ|de:gatǔ:gā||de²gạ²tu²³ga²|He recently drank alcoholic drinks|dee2ga2tuu23ga2
ᏕᏥᎰᎢ|dé:ji:hó:ɂi||de³ji²ho³ɂi|You all usually have solid things|dee3jii2hoo3-i
ᏕᏍᏗᎰᎢ|de:sdi:hó:ɂi||de²sdi²ho³ɂi|You both usually have solid things|dee2sdii2hoo3-i
ᏗᏣᏓᏙᎵᎩ|dijada:dohlgi||dị²jạ²da²dohl²gi|Let you all be acquainted|di2ja2daa2dohl2gi
ᏗᏍᏓᏤᎵᎢ|disdaje:li̋:ɂi||dị²sdạ²je²li⁴ɂi|You both, your things|di2sdaa2jee2lii4-i
ᏗᏍᏓᏓᏙᎵᎩ|disdada:dohlgi||dị²sdạ²da²dohl²gi|Let you both be acquainted|di2sdaa2daa2dohl2gi
ᎨᎪᎵᏍᏗ|ge:go:hlísdi||ge²go²hlị³sdi|For them to recognize all of us|gee2goo2hli3sdi
ᎠᎾᏓᏙᎵᎦ|à:nada:dohlgā||a¹nạ²da²dohl²ga²|They recently recognized themselves|aa1naa2daa2dohl2ga2
ᎪᎪᎵᏍᏗ|go:go:hlísdi||go²go²hlị³sdi|For them to recognize them and me|goo2goo2hli3sdi
ᏧᏬᎵᏍᏗ|ju:wo:hlísdi||ju²wo²hlị³sdi|For him to understand things; For him to recognize them (animate)|juu2woo2hli3sdi
ᎡᎦᏚᎳ|è:gadǔ:la||e¹gạ²du²³la|Let all of us be wanted|ee1ga2duu23la
ᏗᏉᎵᏍᏗ|dìgwo:hlísdi||dị¹gwo²hlị³sdi|For me to understand things|di1gwoo2hli3sdi
ᎡᎾᏚᎳ|è:nadǔ:la||e¹nạ²du²³la|Let you and me want him|ee1na2duu23la
ᏍᏗᎭ|sdi:ha||sdi²ha|You both have something solid|sdii2ha
ᏚᏮᏯ|du:wù:wâ:ya||du²wu¹wa³²ya|He has rod shaped things|duu2wuu1waa32ya
ᎤᏓᏙᎵᏍᏗ|ù:da:do:hlísdi||u¹da²do²hlị³sdi|For him to recognize himself|uu1daa2doo2hli3sdi
ᎡᏓᏚᎳ|è:dadǔ:la||e¹dạ²du²³la|Let all of us want him|ee1da2duu23la
ᏣᎭ|jaha||jạ²ha|You have something solid|ja2ha
ᏍᏉᎵᎦ|sgwohlga||sgwohl²ga|You recognize me|sgwohl2ga
ᎨᎩᏃᎵᏍᏗ|ge:gino:hlísdi||ge²gị²no²hlị³sdi|For them to recognize you and me|gee2gi2noo2hli3sdi
ᎡᏣᏚᎳ|è:jadǔ:la||e¹jạ²du²³la|Let you all want him; Let you be wanted; Let you all be wanted|ee1ja2duu23la
ᎢᏥᎭ|ì:ji:ha||i¹ji²ha|You all have something solid|ii1jii2ha
ᏕᎰᎵᎦ|de:hohlga||de²hohl²ga|You understand things|dee2hohl2ga
ᎪᎩᏃᎵᏍᏗ|go:gino:hlísdi||go²gị²no²hlị³sdi|For them to recognize him and me|goo2gi2noo2hli3sdi
ᎨᎾᏚᎳ|ge:nadǔ:la||ge²nạ²du²³la|Let you and me want them (animate)|gee2na2duu23la
ᎠᎩᎭ|à:giha||a¹gị²ha|I have something solid|aa1gi2ha
ᏣᏓᏙᎵᏍᏗ|jada:do:hlísdi||jạ²da²do²hlị³sdi|For you to recognize yourself|ja2daa2doo2hli3sdi
ᎨᏓᏚᎳ|ge:dadǔ:la||ge²dạ²du²³la|Let all of us want them (animate)|gee2da2duu23la
ᏘᎪᏩᏔ|tigò:wahta||tị²go¹wah²ta|Let you see them (inanimate)|ti2goo1wah2ta
ᎠᏆᏓᏙᎵᏍᏗ|à:gwada:do:hlísdi||a¹gwạ²da²do²hlị³sdi|For me to recognize myself|aa1gwaa2daa2doo2hli3sdi
ᎨᏣᏚᎳ|ge:jadǔ:la||ge²jạ²du²³la|Let you all want them (animate)|gee2ja2duu23la
ᏗᏗᎪᏩᏔ|didi:gò:wahta||dị²di²go¹wah²ta|Let all of us see them (inanimate)|di2dii2goo1wah2ta
ᎢᎦᏓᏙᎵᏍᏗ|ì:gada:do:hlísdi||i¹gạ²da²do²hlị³sdi|For all of us to recognize ourselves|ii1ga2daa2doo2hli3sdi
ᎡᏍᏓᏚᎳ|è:sdadǔ:la||e¹sdạ²du²³la|Let you both want him; Let you both be wanted|ee1sda2duu23la
ᏗᏂᎪᏩᏔ|díni:gò:wahta||dị³ni²go¹wah²ta|Let you and me see them (inanimate)|di3nii2goo1wah2ta
ᎣᎦᏓᏙᎵᏍᏗ|ò:gada:do:hlísdi||o¹gạ²da²do²hlị³sdi|For them and me to recognize ourselves|oo1ga2daa2doo2hli3sdi
ᎨᏍᏓᏚᎳ|ge:sdadǔ:la||ge²sdạ²du²³la|Let you both want them (animate)|gee2sda2duu23la
ᏫᏗᏥᎪᏩᏔ|widijigò:wahta||wị²dị²jị²go¹wah²ta|Let me see them (inanimate)|wi2di2ji2goo1wah2ta
ᎤᎾᏓᏙᎵᏍᏗ|ù:nada:do:hlísdi||u¹nạ²da²do²hlị³sdi|For them to recognize themselves|uu1na2daa2doo2hli3sdi
ᎩᎾᏓᏙᎵᏍᏗ|ginada:do:hlísdi||gị²nạ²da²do²hlị³sdi|For you and me to recognize ourselves|gi2na2daa2doo2hli3sdi
ᏍᏓᏓᏚᎳ|sdadadǔ:la||sdạ²dạ²du²³la|Let you both want yourselves|sdaa2da2duu23la
ᎣᎩᎾᏓᏙᎵᏍᏗ|ò:ginada:do:hlísdi||o¹gị²nạ²da²do²hlị³sdi|For him and me to recognize ourselves|oo1gi2na2daa2doo2hli3sdi
ᎡᎩᎾᏚᎳ|è:ginadǔ:la||e¹gị²nạ²du²³la|Let you and me be wanted|ee1gi2na2duu23la
ᎠᎦᏚᎳ|à:gadǔ:lā||a¹gạ²du²³la²|He was recently wanted|aa1ga2duu23la2
ᎪᎵᎦ|go:lì:ga||go²li¹ga|I understand it|goo2lii1ga
ᎨᏥᎪᎲᎢ|gé:ji:go:hv̌:ɂi||ge³ji²go²hv²³ɂi|They saw you all a while ago|gee3jii2goo2hvv23-i
ᏓᏂᎪᏩᏔ|dà:ni:gò:wahtā||da¹ni²go¹wah²ta²|They recently saw them|daa1nii2goo1wah2ta2
ᎪᏥᎪᎲᎢ|go:ji:go:hv̌:ɂi||go²ji²go²hv²³ɂi|They and I saw them (animate) a while ago|goo2jii2goo2hvv23-i
ᏕᏂᎪᏩᏔ|dé:ni:gò:wahtā||de³ni²go¹wah²ta²|You and I recently saw them (inanimate)|dee3nii2goo1wah2ta2
ᏕᏗᎪᏩᏔ|dé:di:gò:wahtā||de³di²go¹wah²ta²|All of us recently saw them (inanimate)|dee3dii2goo1wah2ta2
ᏙᏥᎪᏩᏔ|dò:ji:gò:wahtā||do¹ji²go¹wah²ta²|They and I recently saw them (inanimate)|doo1jii2goo1wah2ta2
ᎪᏍᏗᎪᎲᎢ|go:sdi:go:hv̌:ɂi||go²sdi²go²hv²³ɂi|He and I saw them (animate) a while ago|goo2sdii2goo2hvv23-i
ᏙᏍᏗᎪᏩᏔ|dò:sdi:gò:wahtā||do¹sdi²go¹wah²ta²|He and I recently saw them (inanimate)|doo1sdii2goo1wah2ta2
ᏥᏥ|ji:ji||ji²ji|I, his mother|jii2ji
ᏕᏥᏰᎠ|de:jiyé:ɂa||de²jị²ye³ɂa|I am eating flexible things|dee2ji2yee3-a
ᏫᏓᎭᏗᏔ|wida:dǐ:ta||wị²da²di²³ta|Let him drink drinks|wi2daa2dii23ta
ᏣᎦᏙᏍᏗ|jà:ktǒ:sdi||ja¹kto²³sdi|He is looking at you|jaa1ktoo23sdi
ᎦᏓᎦᏙᏍᏗ|gadagà:tǒ:sdi||gạ²dạ²ga¹to²³sdi|I am looking at myself|ga2da2gaa1too23sdi
ᏦᎦᏓᎦᏙᏍᏙᏗ|jò:gadaktǒ:sdóhdi||jo¹gạ²dạ²kto²³sdoh³di|For them and me to look at each other|joo1ga2da2ktoo23sdoh3di
ᏕᎦᏓᏚᎸᎲᎢ|dé:gadadu:lv:hv̌:ɂi||de³gạ²dạ²du²lv²hv²³ɂi|All of us wanted each other a while ago|dee3ga2da2duu2lvv2hvv23-i
ᏫᏦᏥᏯᎦ|wijò:ji:hyaga||wị²jo¹ji²hyạ²ga|Let them and me eat flexible things|wi2joo1jii2hya2ga
ᏓᏂᏍᏗᎦ|dà:ni:sdǐ:gā||da¹ni²sdi²³ga²|They recently ate rod shaped things|daa1nii2sdii23ga2
ᏧᎾᏓᎦᏙᏍᏙᏗ|jù:nadaktǒ:sdóhdi||ju¹nạ²dạ²kto²³sdoh³di|For them to look at each other|juu1na2da2ktoo23sdoh3di
ᏙᎦᏓᏚᎸᎲᎢ|dò:gadadu:lv:hv̌:ɂi||do¹gạ²dạ²du²lv²hv²³ɂi|They and I wanted each other a while ago|doo1ga2da2duu2lvv2hvv23-i
ᏕᏂᏍᏗᎦ|dé:ni:sdǐ:gā||de³ni²sdi²³ga²|You and I recently ate rod shaped things|dee3nii2sdii23ga2
ᏚᎾᏓᏚᎸᎲᎢ|dù:nadadu:lv:hv̌:ɂi||du¹nạ²dạ²du²lv²hv²³ɂi|They wanted each other a while ago|duu1na2da2duu2lvv2hvv23-i
ᏗᎦᏓᎦᏙᏍᏙᏗ|digadaktǒ:sdóhdi||dị²gạ²dạ²kto²³sdoh³di|For all of us to look at each other|di2ga2da2ktoo23sdoh3di
ᏗᎩᏰᏍᏗ|digi:hyè:sdi||dị²gi²hye¹sdi|For all of us to eat flexible things|di2gii2hyee1sdi
ᏕᏗᏍᏗᎦ|dé:di:sdǐ:gā||de³di²sdi²³ga²|All of us recently ate rod shaped things|dee3dii2sdii23ga2
ᏦᎩᎾᏓᎦᏙᏍᏙᏗ|jò:ginadaktǒ:sdóhdi||jo¹gị²nạ²dạ²kto²³sdoh³di|For him and me to look at each other|joo1gi2na2da2ktoo23sdoh3di
ᏕᎩᎾᏓᏚᎸᎲᎢ|de:ginadadu:lv:hv̌:ɂi||de²gị²nạ²dạ²du²lv²hv²³ɂi|You and I wanted each other a while ago|dee2gi2na2da2duu2lvv2hvv23-i
ᏘᏍᏗᎦ|tisdǐ:ga||tị²sdi²³ga|Let you eat rod shaped things|ti2sdii23ga
ᏙᏥᏍᏗᎦ|dò:ji:sdǐ:gā||do¹ji²sdi²³ga²|They and I recently ate rod shaped things|doo1jii2sdii23ga2
ᏙᎩᎾᏓᏚᎸᎲᎢ|dò:ginadadu:lv:hv̌:ɂi||do¹gị²nạ²dạ²du²lv²hv²³ɂi|He and I wanted each other a while ago|doo1gi2na2da2duu2lvv2hvv23-i
ᏙᎬᏲᎢ|dò:gù:wǎ:yóɂi||do¹gu¹wa²³yọ³ɂi|They and I usually have rod shaped things|doo1guu1waa23yo3-i
ᏗᏗᏍᏗᎦ|didi:sdǐ:ga||dị²di²sdi²³ga|Let all of us eat rod shaped things|di2dii2sdii23ga
ᏗᎩᏂᏰᏍᏗ|digini:hyè:sdi||dị²gị²ni²hye¹sdi|For you and me to eat flexible things|di2gi2nii2hyee1sdi
ᏙᏍᏗᏍᏗᎦ|dò:sdi:sdǐ:gā||do¹sdi²sdi²³ga²|He and I recently ate rod shaped things|doo1sdii2sdii23ga2
ᏧᎪᏩᏛᏗ|ju:gowhtv́hdi||ju²gowh²tvh³di|For him to see them|juu2gowh2tvh3di
ᏥᏲᎵᎪᎢ|ji:yo:li:gó:ɂi||ji²yo²li²go³ɂi|I usually recognize him|jii2yoo2lii2goo3-i
ᏚᏅᏲᎢ|dù:nù:wǎ:yóɂi||du¹nu¹wa²³yọ³ɂi|They usually have rod shaped things|duu1nuu1waa23yo3-i
ᏗᏂᏍᏗᎦ|díni:sdǐ:ga||dị³ni²sdi²³ga|Let you and me eat rod shaped things|di3nii2sdii23ga
ᏕᎦᏟᏌ|de:gàhlǐ:sā||de²gạ¹hli²³sa²|He recently gathered things|dee2ga1hlii23sa2
ᎤᏓᎪᏩᏛᏗ|ù:da:gowhtv́hdi||u¹da²gowh²tvh³di|For him to see himself|uu1daa2gowh2tvh3di
ᏍᏛᏌ|sdv̌:sa||sdv²³sa|Your two selves|sdvv23sa
ᏕᏥᎲᎢ|dé:ji:hv̌:ɂi||de³ji²hv²³ɂi|You all had solid things a while ago|dee3jii2hvv23-i
ᏕᎩᏅᏲᎢ|de:ginù:wǎ:yóɂi||de²gị²nu¹wa²³yọ³ɂi|You and I usually have rod shaped things|dee2gi2nuu1waa23yo3-i
ᏫᏗᏥᏍᏗᎦ|widijisdǐ:ga||wị²dị²jị²sdi²³ga|Let me eat rod shaped things|wi2di2ji2sdii23ga
ᏣᏓᎪᏩᏛᏗ|jada:gowhtv́hdi||jạ²da²gowh²tvh³di|For you to see yourself|ja2daa2gowh2tvh3di
ᎦᏥᏲᎵᎪᎢ|gaji:yo:li:gó:ɂi||gạ²ji²yo²li²go³ɂi|I usually recognize them (animate)|ga2jii2yoo2lii2goo3-i
ᎢᏨᏌ|ì:jv̌:sa||i¹jv²³sa|Your all selves|ii1jvv23sa
ᏕᏍᏗᎲᎢ|de:sdi:hv̌:ɂi||de²sdi²hv²³ɂi|You both had solid things a while ago|dee2sdii2hvv23-i
ᏙᎩᏅᏲᎢ|dò:ginù:wǎ:yóɂi||do¹gị²nu¹wa²³yọ³ɂi|He and I usually have rod shaped things|doo1gi2nuu1waa23yo3-i
ᏗᏍᏓᏚᎩ|disdatǔ:gi||dị²sdạ²tu²³gi|Let you both drink alcoholic drinks|di2sda2tuu23gi
ᎠᏆᏓᎪᏩᏛᏗ|à:gwada:gowhtv́hdi||a¹gwạ²da²gowh²tvh³di|For me to see myself|aa1gwaa2daa2gowh2tvh3di
ᏓᎩᎰᎢ|dà:gihó:ɂi||da¹gị²ho³ɂi|I usually have solid things|daa1gi2hoo3-i
ᎢᎦᏓᎪᏩᏛᏗ|ì:gada:gowhtv́hdi||i¹gạ²da²gowh²tvh³di|For all of us to see ourselves|ii1ga2daa2gowh2tvh3di
