ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᎨᏣᎦᏙᏍᏙᏗ|ge:jagà:tǒ:sdóhdi||ge²jạ²ga¹to²³sdoh³di|For you all to look at them (animate)|gee2ja2gaa1too23sdoh3di
ᎬᏯᎦᏙᏍᏙᏗ|gv:yagà:tǒ:sdóhdi||gv²yạ²ga¹to²³sdoh³di|For me to look at you|gvv2ya2gaa1too23sdoh3di
ᏕᏥᏍᏗᎦ|dé:ji:sdǐ:gā||de³ji²sdi²³ga²|You all recently ate rod shaped things|dee3jii2sdii23ga2
ᏥᏯᎦᏙᏍᏙᏗ|ji:yagà:tǒ:sdóhdi||ji²yạ²ga¹to²³sdoh³di|For me to look at him|jii2ya2gaa1too23sdoh3di
ᏕᏍᏗᏍᏗᎦ|de:sdi:sdǐ:gā||de²sdi²sdi²³ga²|You both recently ate rod shaped things|dee2sdii2sdii23ga2
ᎡᏍᏓᎦᏙᏍᏙᏗ|è:sdagà:tǒ:sdóhdi||e¹sdạ²ga¹to²³sdoh³di|For you both to look at him; For you both to be looked at|ee1sda2gaa1too23sdoh3di
ᏍᏛᏯᎦᏙᏍᏙᏗ|sdv:yagà:tǒ:sdóhdi||sdv²yạ²ga¹to²³sdoh³di|For me to look at you both; For we two to look at you or you both|sdvv2ya2gaa1too23sdoh3di
ᎡᎩᎾᎦᏙᏍᏙᏗ|è:ginagà:tǒ:sdóhdi||e¹gị²nạ²ga¹to²³sdoh³di|For you and me to be looked at|ee1gi2na2gaa1too23sdoh3di
ᏫᏨᏯᎦᏙᏍᏓ|wì:jv:yagà:tǒ:sda||wi¹jv²yạ²ga¹to²³sda|Let us, me, two, or we all look at you all; Let us all look at you, two|wii1jvv2ya2gaa1too23sda
ᎦᏥᏯᎦᏙᏍᏙᏗ|gaji:yagà:tǒ:sdóhdi||gạ²ji²yạ²ga¹to²³sdoh³di|For me to look at them (animate)|ga2jii2ya2gaa1too23sdoh3di
ᎨᏣᎪᏩᏘᏍᎪᎢ|ge:jagowhtǐ:sgóɂi||ge²jạ²gowh²ti²³sgọ³ɂi|They are often seeing you|gee2ja2gowh2tii23sgo3-i
ᏍᎩᎪᏩᏘᎭ|sgigowhtíha||sgị²gowh²tị³ha|You are seeing me|sgii2gowh2ti3ha
ᎥᎩᎪᏩᏘᎭ|v̀:gigowhtíha||v¹gị²gowh²tị³ha|I am being seen|vv1gi2gowh2ti3ha
ᎢᎩᎪᎲᎢ|ì:gi:go:hv̌:ɂi||i¹gi²go²hv²³ɂi|He saw all of us a while ago; All of us saw it a while ago|ii1gii2goo2hvv23-i
ᎣᏥᎪᎲᎢ|ò:ji:go:hv̌:ɂi||o¹ji²go²hv²³ɂi|They and I saw him a while ago|oo1jii2goo2hvv23-i
ᎣᎩᎪᏩᏔ|ò:gi:gò:wahtā||o¹gi²go¹wah²ta²|He recently saw them and me; They and I were recently seen|oo1gii2goo1wah2ta2
ᎣᏍᏗᎪᎲᎢ|ò:sdi:go:hv̌:ɂi||o¹sdi²go²hv²³ɂi|He and I saw him a while ago|oo1sdii2goo2hvv23-i
ᏍᏛᏥ|sdv:ji||sdv²ji|I, your two's mother|sdvv2ji
ᎦᎴᎪᎢ|gálè:gó:ɂi||gạ³le¹go³ɂi|He usually is climbing it|ga3lee1goo3-i
ᏕᎩᎾᎣᎢ|dé:gi:náó:ɂi||de³gi²nạ³o³ɂi|All of us usually have flexible things|dee3gii2na3oo3-i
ᏣᏲᏏᏌ|jayò:sǐ:sā||jạ²yo¹si²³sa²|You were recently hungry|ja2yoo1sii23sa2
ᎤᏂᎸᏒᎢ|ù:ni:lv̂:sv̌:ɂi||u¹ni²lv³²sv²³ɂi|They climbed it a while ago|uu1nii2lvv32svv23-i
ᎠᎦᎦᏙᏍᏔᏅᎢ|à:gà:gà:tǒ:stánv̌:ɂi||a¹ga¹ga¹to²³stạ³nv²³ɂi|He was looked at a while ago|aa1gaa1gaa1too23sta3nvv23-i
ᏥᎴᎪᎢ|jílè:gó:ɂi||jị³le¹go³ɂi|I am usually climbing it|ji3lee1goo3-i
ᏙᎩᎾᎣᎢ|dò:gi:náó:ɂi||do¹gi²nạ³o³ɂi|They and I usually have flexible things|doo1gii2na3oo3-i
ᎨᏣᎦᏙᏍᏔᏅᎢ|gé:jà:gà:tǒ:stánv̌:ɂi||ge³ja¹ga¹to²³stạ³nv²³ɂi|They looked at you all a while ago|gee3jaa1gaa1too23sta3nvv23-i
ᏚᏂᎾᎣᎢ|dù:ni:náó:ɂi||du¹ni²nạ³o³ɂi|They usually have flexible things|duu1nii2na3oo3-i
ᏕᎩᏂᎾᎣᎢ|de:gini:náó:ɂi||de²gị²ni²nạ³o³ɂi|You and I usually have flexible things|dee2gi2nii2na3oo3-i
ᏙᎩᏂᎾᎣᎢ|dò:gini:náó:ɂi||do¹gị²ni²nạ³o³ɂi|He and I usually have flexible things|doo1gi2nii2na3oo3-i
ᏕᏥᏚᎲᏍᎦ|de:jídu:hv́sga||de²jị³du²hṿ³sga|I am baking things|dee2ji3duu2hv3sga
ᏕᏥᏯᎥᎢ|dé:ji:hyá:ɂv̌:ɂi||de³ji²hya³ɂv²³ɂi|You all ate flexible things a while ago|dee3jii2hyaa3-vv23-i
ᏕᏍᏗᏯᎥᎢ|de:sdi:hyá:ɂv̌:ɂi||de²sdi²hya³ɂv²³ɂi|You both ate flexible things a while ago|dee2sdii2hyaa3-vv23-i
ᏗᏍᏚᏗᏔᏍᏗ|disda:di:tasdi||dị²sda²di²tạ²sdi|For you both to drink drinks|di2sdaa2dii2ta2sdi
ᎣᎩᎮᏍᏗ|ò:gi:hé:sdi||o¹gi²he³sdi|They and I will be having something solid|oo1gii2hee3sdi
ᎩᏂᎮᏍᏗ|gini:hé:sdi||gị²ni²he³sdi|You and I will be having something solid|gi2nii2hee3sdi
ᎣᎩᏂᎮᏍᏗ|ò:gini:hé:sdi||o¹gị²ni²he³sdi|He and I will be having something solid|oo1gi2nii2hee3sdi
ᎯᏯᎦᏙᏍᏙᏗ|hi:yagà:tǒ:sdóhdi||hi²yạ²ga¹to²³sdoh³di|For you to look at him|hii2ya2gaa1too23sdoh3di
ᎢᏨᏯᎦᏙᏍᏙᏗ|ì:jv:yagà:tǒ:sdóhdi||i¹jv²yạ²ga¹to²³sdoh³di|For us, me, two, or we all to look at you all; For we all to look at you, two|ii1jvv2ya2gaa1too23sdoh3di
ᎢᏍᎩᏯᎦᏙᏍᏙᏗ|ì:sgi:yagà:tǒ:sdóhdi||i¹sgi²yạ²ga¹to²³sdoh³di|For you, two, or all to look at us all; For you all to look at me|ii1sgii2ya2gaa1too23sdoh3di
ᎦᎯᏯᎦᏙᏍᏙᏗ|gahi:yagà:tǒ:sdóhdi||gạ²hi²yạ²ga¹to²³sdoh³di|For you to look at them (animate)|ga2hii2ya2gaa1too23sdoh3di
ᎠᏃᎵᎦ|à:nohlga||a¹nohl²ga|They understand it; They recognize him|aa1nohl2ga
ᏓᎪᏩᏘᎭ|dagowhtíha||dạ²gowh²tị³ha|He is seeing them|da2gowh2ti3ha
